latitude,longitude,location_name,crime_type,incident_time,hour,day_of_week,month
19.107601,72.833432,Juhu,fraud,2025-07-10 12:21:14.549642,12,3,7
18.929803,72.848782,Fort,theft,2025-08-21 09:27:17.036680,9,3,8
19.060337,72.89191,Chembur,assault,2026-01-04 21:10:56.963677,21,6,1
19.084015,72.902828,Ghatkopar,assault,2025-06-20 23:28:01.280498,23,4,6
19.017633,72.81189,Worli,theft,2025-06-23 12:04:56.889758,12,0,6
19.109492,72.821073,Juhu,theft,2025-08-19 19:10:42.317039,19,1,8
19.18324,72.854559,Malad,burglary,2025-05-25 04:07:44.105853,4,6,5
19.044654,72.853284,Dharavi,vandalism,2025-04-06 06:45:06.288866,6,6,4
19.205541,72.855286,Kandivali,assault,2025-02-02 07:58:32.158168,7,6,2
19.061612,72.844209,Bandra East,theft,2025-08-03 22:00:26.625855,22,6,8
19.085349,72.907079,Ghatkopar,theft,2025-08-23 10:15:59.987575,10,5,8
19.053719,72.897895,Chembur,robbery,2025-10-26 22:35:09.673143,22,6,10
19.075534,72.886394,Kurla,burglary,2025-07-11 15:20:33.234180,15,4,7
19.064893,72.877083,Kurla,fraud,2025-11-05 12:13:43.110305,12,2,11
19.090958,72.903447,Ghatkopar,assault,2025-04-22 00:29:27.955183,0,1,4
18.902955,72.81904,Colaba,burglary,2025-08-18 15:26:23.561384,15,0,8
19.121497,72.87023,Andheri East,vandalism,2025-03-04 19:08:51.896231,19,1,3
19.103596,72.826247,Juhu,burglary,2025-11-06 11:56:03.116646,11,3,11
19.053166,72.89934,Chembur,robbery,2025-05-31 10:56:56.927128,10,5,5
19.061802,72.832203,Bandra West,fraud,2025-08-05 10:01:41.933604,10,1,8
19.122479,72.83398,Andheri West,theft,2025-10-24 20:49:01.022244,20,4,10
19.106798,72.822433,Juhu,assault,2025-06-10 19:46:52.982105,19,1,6
19.227334,72.856319,Borivali,fraud,2025-05-31 11:50:46.555503,11,5,5
18.932762,72.828842,Churchgate,vandalism,2025-06-30 07:25:57.432942,7,0,6
19.114688,72.871335,Andheri East,vandalism,2025-08-21 01:41:25.529070,1,3,8
19.170059,72.952174,Mulund,burglary,2026-01-02 17:23:02.917430,17,4,1
19.189748,72.841383,Malad,theft,2025-04-24 14:24:18.725493,14,3,4
19.021752,72.816192,Worli,robbery,2025-11-26 03:43:24.909276,3,2,11
19.052737,72.843138,Bandra East,assault,2025-09-25 10:38:25.733230,10,3,9
19.059275,72.842653,Bandra East,robbery,2025-07-16 08:32:20.627240,8,2,7
19.118288,72.83148,Andheri West,theft,2025-10-09 19:08:04.774348,19,3,10
19.123619,72.906861,Powai,theft,2025-09-01 09:10:35.934116,9,0,9
18.999699,72.849957,Parel,robbery,2025-09-11 01:23:39.965736,1,3,9
19.013757,72.842853,Dadar,robbery,2025-06-07 22:19:01.733862,22,5,6
19.009859,72.845166,Dadar,theft,2025-10-29 19:48:36.988779,19,2,10
18.999314,72.843622,Parel,assault,2025-12-31 07:13:07.101881,7,2,12
19.050029,72.840893,Bandra East,theft,2025-04-30 14:19:54.455853,14,2,4
19.060042,72.837946,Bandra East,assault,2025-07-08 10:44:00.918044,10,1,7
19.105111,72.880173,Andheri East,robbery,2026-01-28 00:58:50.443199,0,2,1
19.05642,72.850164,Bandra East,vandalism,2025-03-27 00:41:25.291796,0,3,3
19.087994,72.913605,Ghatkopar,assault,2025-03-24 02:09:55.428955,2,0,3
19.114827,72.874723,Andheri East,theft,2025-10-23 12:55:16.449717,12,3,10
19.049984,72.85126,Bandra East,theft,2025-11-24 12:49:25.346910,12,0,11
19.049703,72.843621,Bandra East,robbery,2025-03-19 08:22:48.510342,8,2,3
19.167044,72.974776,Mulund,burglary,2025-04-28 14:12:06.557306,14,0,4
19.222064,72.847271,Borivali,theft,2025-12-10 01:13:22.673302,1,2,12
19.055541,72.838813,Bandra East,theft,2025-12-13 22:40:49.888422,22,5,12
19.046246,72.850022,Dharavi,theft,2025-12-01 12:30:52.473984,12,0,12
19.157813,72.849134,Goregaon,robbery,2025-11-20 23:37:22.818313,23,3,11
19.044432,72.848197,Dharavi,theft,2025-06-28 09:02:32.996207,9,5,6
19.045384,72.899452,Chembur,theft,2025-12-05 04:14:18.310490,4,4,12
19.013022,72.814564,Worli,burglary,2025-04-16 15:37:02.170763,15,2,4
19.203874,72.854758,Kandivali,burglary,2025-12-28 02:19:45.354289,2,6,12
19.072801,72.884347,Kurla,assault,2025-07-03 17:04:13.916932,17,3,7
19.106648,72.879255,Andheri East,robbery,2025-11-21 14:22:05.064478,14,4,11
19.053599,72.845189,Bandra East,assault,2025-04-04 04:11:51.489620,4,4,4
19.168609,72.850012,Goregaon,fraud,2025-04-03 11:23:41.587915,11,3,4
19.063775,72.83386,Bandra East,assault,2025-06-23 04:11:59.414382,4,0,6
19.068311,72.879296,Kurla,robbery,2026-01-02 16:31:11.116175,16,4,1
19.112658,72.870087,Andheri East,theft,2025-12-11 21:42:20.978682,21,3,12
19.088611,72.900156,Ghatkopar,assault,2025-03-23 14:05:41.288816,14,6,3
19.081711,72.886709,Kurla,assault,2025-02-09 21:39:27.080371,21,6,2
19.208972,72.855709,Kandivali,vandalism,2025-09-23 18:45:23.744858,18,1,9
19.052385,72.90511,Chembur,robbery,2025-11-20 17:25:04.666664,17,3,11
19.188137,72.838868,Malad,robbery,2025-02-21 18:53:10.475081,18,4,2
19.070365,72.884643,Kurla,vandalism,2025-12-04 18:47:24.150770,18,3,12
19.050955,72.893258,Chembur,theft,2025-06-06 09:48:22.669948,9,4,6
19.161748,72.848128,Goregaon,theft,2025-05-01 19:31:12.281476,19,3,5
19.044189,72.849167,Dharavi,burglary,2025-10-30 16:22:14.275209,16,3,10
19.09542,72.903093,Ghatkopar,vandalism,2025-02-16 23:48:54.407196,23,6,2
19.091719,72.90448,Ghatkopar,burglary,2025-12-25 05:51:34.897574,5,3,12
19.006241,72.840279,Parel,burglary,2025-12-20 08:04:17.205531,8,5,12
19.120806,72.905303,Powai,theft,2025-04-27 12:21:59.425571,12,6,4
19.051792,72.916816,Chembur,burglary,2025-09-25 04:49:22.256114,4,3,9
19.001992,72.856339,Parel,theft,2025-11-24 13:33:09.486070,13,0,11
19.063597,72.843355,Bandra East,assault,2025-06-09 08:41:34.928050,8,0,6
19.080966,72.900431,Ghatkopar,burglary,2025-12-05 21:14:53.139535,21,4,12
19.059032,72.892692,Chembur,assault,2025-10-16 05:28:55.498111,5,3,10
19.106995,72.824209,Juhu,theft,2025-10-28 11:47:59.972937,11,1,10
19.066546,72.846295,Bandra East,robbery,2025-06-08 21:35:56.215448,21,6,6
19.16487,72.850866,Goregaon,theft,2025-07-15 11:09:22.558175,11,1,7
19.005321,72.838696,Parel,robbery,2025-10-31 01:11:19.236439,1,4,10
19.108232,72.831969,Juhu,burglary,2026-01-26 16:19:25.931513,16,0,1
19.091414,72.910008,Ghatkopar,fraud,2026-01-12 16:16:52.941380,16,0,1
19.080797,72.887397,Kurla,robbery,2025-07-11 17:38:28.970696,17,4,7
19.062858,72.879524,Kurla,vandalism,2025-05-02 19:01:46.867137,19,4,5
19.087732,72.905091,Ghatkopar,assault,2025-03-27 08:53:04.363593,8,3,3
19.046468,72.90035,Chembur,robbery,2025-07-03 03:47:33.273668,3,3,7
18.908913,72.821134,Colaba,burglary,2025-07-27 09:17:26.387903,9,6,7
19.053078,72.834069,Bandra West,vandalism,2025-08-18 16:55:48.854483,16,0,8
18.941093,72.816839,Marine Drive,assault,2025-11-20 00:45:25.931199,0,3,11
19.059493,72.848198,Bandra East,robbery,2025-08-08 10:45:41.297557,10,4,8
19.064433,72.84561,Bandra East,assault,2025-11-13 03:54:02.451294,3,3,11
19.020163,72.822652,Worli,assault,2025-05-03 22:00:02.821951,22,5,5
19.058341,72.841611,Bandra East,burglary,2025-11-21 12:27:08.830345,12,4,11
19.060558,72.838368,Bandra East,assault,2025-12-05 07:41:34.381158,7,4,12
18.925785,72.817482,Churchgate,theft,2025-05-02 08:57:24.641589,8,4,5
19.080522,72.904925,Ghatkopar,vandalism,2025-03-15 02:12:13.033608,2,5,3
19.042056,72.853021,Dharavi,robbery,2025-11-04 02:31:43.850088,2,1,11
19.01656,72.820507,Worli,fraud,2025-05-22 14:30:33.662751,14,3,5
19.117574,72.89523,Powai,theft,2025-07-16 16:25:48.328189,16,2,7
19.109987,72.86381,Andheri East,fraud,2025-07-21 12:06:52.346867,12,0,7
19.071414,72.885037,Kurla,robbery,2025-08-09 09:17:55.994455,9,5,8
19.170662,72.954587,Mulund,burglary,2025-05-31 19:51:24.850208,19,5,5
19.167371,72.853782,Goregaon,fraud,2025-11-11 05:43:25.147162,5,1,11
19.202134,72.865556,Kandivali,assault,2025-10-14 09:42:15.626910,9,1,10
19.074627,72.900259,Kurla,robbery,2025-06-27 09:37:36.892646,9,4,6
19.08688,72.901869,Ghatkopar,assault,2025-06-04 22:08:21.128973,22,2,6
19.058618,72.850219,Bandra East,theft,2025-03-10 16:06:02.115600,16,0,3
19.055898,72.842013,Bandra East,assault,2025-11-08 18:55:53.595392,18,5,11
18.905901,72.821413,Colaba,burglary,2025-02-07 17:39:53.176725,17,4,2
19.078196,72.886042,Kurla,vandalism,2025-07-14 23:59:11.221210,23,0,7
19.016871,72.817506,Worli,fraud,2025-01-29 07:37:13.369987,7,2,1
19.123947,72.830956,Andheri West,assault,2025-01-29 06:24:40.345037,6,2,1
19.086814,72.902562,Ghatkopar,assault,2025-10-29 17:45:08.859443,17,2,10
19.042163,72.850858,Dharavi,theft,2025-02-05 23:53:18.368531,23,2,2
19.060443,72.859407,Bandra East,burglary,2025-10-20 00:47:54.656742,0,0,10
19.057122,72.864571,Bandra East,robbery,2025-02-06 15:17:18.331113,15,3,2
19.204251,72.851799,Kandivali,burglary,2025-11-27 16:03:39.224976,16,3,11
19.116661,72.89539,Powai,theft,2025-07-16 06:41:21.635173,6,2,7
19.187332,72.852098,Malad,burglary,2025-04-04 15:04:46.496041,15,4,4
